kennung,bereich,koordinatensystem,qualitaet,wkt
81,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((153 506, 209 506, 209 480, 198 470, 198 461, 146 461, 153 506))"
82,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((219 506, 281 506, 281 461, 219 461, 219 506))"
83,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 506, 330 506, 330 461, 289 461, 289 506))"
84,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((339 506, 377 506, 377 461, 339 461, 339 506))"
77,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((219 450, 281 450, 281 407, 219 407, 219 450))"
78,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 450, 330 450, 330 407, 289 407, 289 450))"
79,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((339 450, 377 450, 377 407, 339 407, 339 450))"
73a,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((219 399, 281 399, 281 355, 219 355, 219 399))"
73,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 399, 330 399, 330 355, 289 355, 289 399))"
37,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((339 399, 377 399, 377 355, 339 355, 339 399))"
64A,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((219 310, 281 310, 281 268, 219 268, 219 310))"
64,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 310, 330 310, 330 268, 289 268, 289 310))"
36,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((339 310, 377 310, 377 268, 339 268, 339 310))"
61,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((219 260, 281 260, 281 211, 219 211, 219 260))"
40,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 260, 330 260, 330 211, 289 211, 289 260))"
35,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((339 260, 377 260, 377 211, 339 211, 339 260))"
56,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((219 201, 281 201, 281 172, 219 172, 219 201))"
39,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 201, 330 201, 330 172, 289 172, 289 201))"
34,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((339 201, 377 201, 377 172, 339 172, 339 201))"
75,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((146 450, 197 450, 197 407, 146 407, 146 450))"
72,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((97 399, 140 399, 140 355, 97 355, 97 399))"
72a,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((147 399, 196 399, 196 355, 147 355, 147 399))"
62,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((62 310, 90 310, 90 268, 62 268, 62 310))"
63,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((98 310, 140 310, 140 268, 98 268, 98 310))"
63A,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((148 310, 196 310, 196 268, 148 268, 148 310))"
57,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((63 260, 91 260, 91 225, 63 225, 63 260))"
58,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((98 260, 140 260, 140 211, 98 211, 98 260))"
59,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((147 260, 196 260, 196 211, 147 211, 147 260))"
55,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((147 201, 195 201, 195 172, 147 172, 147 201))"
54,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((98 201, 140 201, 140 172, 98 172, 98 201))"
50,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((145 163, 161 163, 161 134, 145 134, 145 163))"
43,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((168 163, 210 163, 210 134, 168 134, 168 163))"
44,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((221 163, 260 163, 260 130, 221 130, 221 163))"
49,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((145 124, 161 124, 161 94, 145 94, 145 124))"
41,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((168 124, 210 124, 210 94, 168 94, 168 124))"
42,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((221 123, 260 123, 260 94, 221 94, 221 123))"
48,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((164 86, 210 86, 210 68, 164 68, 164 86))"
47,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((221 86, 260 86, 260 66, 221 66, 221 86))"
70,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 349, 330 349, 330 337, 289 337, 289 349))"
67,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 330, 330 330, 330 320, 289 320, 289 330))"
70A,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((238 349, 281 349, 281 337, 238 337, 238 349))"
67A,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((238 330, 281 330, 281 320, 238 320, 238 330))"
69A,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((157 349, 188 349, 188 337, 157 337, 157 349))"
66A,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((148 330, 187 330, 187 320, 148 320, 148 330))"
69,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((99 349, 140 349, 140 337, 99 337, 99 349))"
66,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((98 330, 140 330, 140 320, 98 320, 98 330))"
68,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((62 349, 91 349, 91 337, 62 337, 62 349))"
65,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((63 330, 92 330, 92 320, 63 320, 63 330))"
76,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((205 453, 225 453, 225 407, 205 407, 205 453))"
76A,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((205 398, 225 398, 225 358, 205 358, 205 398))"
60A,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((204 308, 225 308, 225 268, 204 268, 204 308))"
60,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((204 258, 224 258, 224 212, 204 212, 204 258))"
76B,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((201 461, 204 469, 214 473, 224 468, 227 461, 201 461))"
127,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((114 539, 142 523, 136 512, 109 528, 114 539))"
126,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((114 526, 138 513, 128 490, 103 502, 114 526))"
125,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((103 499, 127 485, 119 464, 94 474, 103 499))"
80,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((132 477, 141 491, 139 459, 126 459, 132 477))"
124,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((91 466, 113 455, 96 424, 80 436, 91 466))"
74,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((120 455, 140 449, 140 408, 99 408, 120 455))"
123,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((77 417, 94 407, 73 371, 61 382, 77 417))"
71,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((82 375, 91 392, 91 355, 74 355, 82 375))"
122,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((62 379, 74 366, 64 353, 49 353, 62 379))"
121,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((30 338, 56 330, 45 306, 30 338))"
134,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((14 341, 25 353, 33 347, 23 334, 14 341))"
53,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((72 217, 91 212, 92 172, 84 171, 72 217))"
52,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((86 161, 135 161, 135 134, 104 134, 86 161))"
51,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((109 123, 138 123, 138 94, 124 94, 109 123))"
48A,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((140 86, 158 86, 158 70, 144 75, 140 86))"
45,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((267 162, 282 162, 282 131, 267 131, 267 162))"
46,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((267 125, 282 125, 282 92, 267 92, 267 125))"
47B,Randflächen,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((267 86, 282 86, 282 68, 267 68, 267 86))"
R4,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((396 506, 440 506, 440 460, 396 460, 396 506))"
R,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((396 450, 440 450, 440 408, 396 408, 396 450))"
6inQ,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((397 397, 439 397, 439 355, 397 355, 397 397))"
R1,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((449 506, 531 506, 531 460, 449 460, 449 506))"
S,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((449 450, 532 450, 532 407, 449 407, 449 450))"
T,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((449 397, 532 397, 532 355, 449 355, 449 397))"
V2,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((541 506, 580 506, 580 482, 541 482, 541 506))"
V1,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((542 472, 565 472, 565 457, 542 457, 542 472))"
V,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((543 448, 625 448, 625 407, 543 407, 543 448))"
U,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((545 397, 625 397, 625 355, 545 355, 545 397))"
24,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((634 448, 675 448, 675 407, 634 407, 634 448))"
25,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((634 397, 675 397, 675 355, 634 355, 634 397))"
W1,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((687 448, 717 448, 717 407, 687 407, 687 448))"
X1,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((680 397, 697 397, 697 353, 680 353, 680 397))"
5inP,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((399 309, 436 309, 436 268, 399 268, 399 309))"
4inO,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((399 258, 436 258, 436 211, 399 211, 399 258))"
3inN,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((399 200, 436 200, 436 170, 399 170, 399 200))"
2inM,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((399 161, 436 161, 436 115, 399 115, 399 161))"
1inL,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((401 104, 436 104, 436 67, 401 67, 401 104))"
11inF,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((450 309, 532 309, 532 268, 450 268, 450 309))"
12inG,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((450 258, 532 258, 532 211, 450 211, 450 258))"
14,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((450 157, 533 157, 533 115, 450 115, 450 157))"
15,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((450 105, 533 105, 533 62, 450 62, 450 105))"
20,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((547 309, 625 309, 625 268, 547 268, 547 309))"
19,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((547 258, 625 258, 625 211, 547 211, 547 258))"
18,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((555 200, 625 200, 625 170, 555 170, 555 200))"
17,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((547 157, 625 157, 625 115, 547 115, 547 157))"
16,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((547 105, 625 105, 625 62, 547 62, 547 105))"
26,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((635 309, 675 309, 675 268, 635 268, 635 309))"
27,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((635 258, 675 258, 675 211, 635 211, 635 258))"
28,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((635 200, 675 200, 675 170, 635 170, 635 200))"
29,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((635 157, 675 157, 675 115, 635 115, 635 157))"
30,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((635 105, 675 105, 675 62, 635 62, 635 105))"
33,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((687 200, 732 200, 732 170, 687 170, 687 200))"
32,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((687 157, 732 157, 732 115, 687 115, 687 157))"
31,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((687 105, 732 105, 732 62, 687 62, 687 105))"
102,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((691 311, 728 311, 728 280, 691 280, 691 311))"
101,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((692 272, 728 272, 728 257, 692 257, 692 272))"
100,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((692 249, 728 249, 728 234, 692 234, 692 249))"
99,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((692 225, 728 225, 728 211, 692 211, 692 225))"
103,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((711 397, 755 397, 755 381, 711 381, 711 397))"
104,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((724 420, 753 420, 753 408, 724 408, 724 420))"
105,Ostteil,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((724 441, 753 441, 753 427, 724 427, 724 441))"
116,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((548 618, 559 609, 532 556, 521 562, 548 618))"
118,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((562 602, 617 568, 592 525, 537 557, 562 602))"
119,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((535 546, 591 514, 586 503, 529 536, 535 546))"
120,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((522 555, 535 548, 529 536, 518 543, 522 555))"
117,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((627 561, 698 519, 675 477, 606 515, 627 561))"
108,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((705 510, 738 489, 725 466, 691 484, 705 510))"
107,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((688 480, 724 462, 717 452, 682 467, 688 480))"
106,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((743 478, 753 470, 753 443, 729 455, 743 478))"
109,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((738 494, 757 483, 756 474, 736 485, 738 494))"
V3,Nordost,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((580 473, 622 473, 646 462, 568 460, 580 473))"
